vce	Ic(Q1)
5.600000000000001e-01	1.231570e-03
5.610000000000001e-01	1.231581e-03
5.620000000000001e-01	1.231591e-03
5.630000000000001e-01	1.231602e-03
5.640000000000001e-01	1.231613e-03
5.650000000000001e-01	1.231624e-03
5.660000000000001e-01	1.231635e-03
5.670000000000001e-01	1.231646e-03
5.680000000000001e-01	1.231657e-03
5.690000000000001e-01	1.231668e-03
5.700000000000001e-01	1.231679e-03
5.710000000000001e-01	1.231690e-03
5.720000000000001e-01	1.231700e-03
5.730000000000001e-01	1.231711e-03
5.740000000000001e-01	1.231722e-03
5.750000000000001e-01	1.231733e-03
5.760000000000001e-01	1.231744e-03
5.770000000000000e-01	1.231755e-03
5.780000000000000e-01	1.231766e-03
5.790000000000000e-01	1.231777e-03
5.800000000000000e-01	1.231788e-03
5.810000000000000e-01	1.231799e-03
5.820000000000000e-01	1.231809e-03
5.830000000000000e-01	1.231820e-03
5.840000000000000e-01	1.231831e-03
5.850000000000000e-01	1.231842e-03
5.860000000000000e-01	1.231853e-03
5.870000000000000e-01	1.231864e-03
5.880000000000000e-01	1.231875e-03
5.890000000000000e-01	1.231886e-03
5.900000000000000e-01	1.231897e-03
5.910000000000000e-01	1.231907e-03
5.920000000000000e-01	1.231918e-03
5.930000000000000e-01	1.231929e-03
5.940000000000000e-01	1.231940e-03
5.950000000000000e-01	1.231951e-03
5.960000000000000e-01	1.231962e-03
5.970000000000000e-01	1.231973e-03
5.980000000000000e-01	1.231984e-03
5.990000000000000e-01	1.231995e-03
6.000000000000000e-01	1.232005e-03
6.010000000000000e-01	1.232016e-03
6.020000000000000e-01	1.232027e-03
6.030000000000000e-01	1.232038e-03
6.040000000000000e-01	1.232049e-03
6.050000000000000e-01	1.232060e-03
6.060000000000000e-01	1.232071e-03
6.070000000000000e-01	1.232082e-03
6.080000000000000e-01	1.232093e-03
6.090000000000000e-01	1.232103e-03
6.100000000000000e-01	1.232114e-03
6.110000000000000e-01	1.232125e-03
6.120000000000000e-01	1.232136e-03
6.130000000000000e-01	1.232147e-03
6.140000000000000e-01	1.232158e-03
6.150000000000000e-01	1.232169e-03
6.160000000000000e-01	1.232180e-03
6.170000000000000e-01	1.232190e-03
6.180000000000000e-01	1.232201e-03
6.190000000000000e-01	1.232212e-03
6.200000000000000e-01	1.232223e-03
6.210000000000000e-01	1.232234e-03
6.220000000000000e-01	1.232245e-03
6.230000000000000e-01	1.232256e-03
6.240000000000000e-01	1.232267e-03
6.250000000000000e-01	1.232277e-03
6.260000000000000e-01	1.232288e-03
6.270000000000000e-01	1.232299e-03
6.280000000000000e-01	1.232310e-03
6.290000000000000e-01	1.232321e-03
6.300000000000000e-01	1.232332e-03
6.310000000000000e-01	1.232343e-03
6.320000000000000e-01	1.232354e-03
6.330000000000000e-01	1.232365e-03
6.340000000000000e-01	1.232375e-03
6.350000000000000e-01	1.232386e-03
6.360000000000000e-01	1.232397e-03
6.370000000000000e-01	1.232408e-03
6.380000000000000e-01	1.232419e-03
6.390000000000000e-01	1.232430e-03
6.400000000000000e-01	1.232441e-03
6.410000000000000e-01	1.232452e-03
6.420000000000000e-01	1.232462e-03
6.430000000000000e-01	1.232473e-03
6.440000000000000e-01	1.232484e-03
6.450000000000000e-01	1.232495e-03
6.460000000000000e-01	1.232506e-03
6.470000000000000e-01	1.232517e-03
6.480000000000000e-01	1.232528e-03
6.490000000000000e-01	1.232539e-03
6.500000000000000e-01	1.232549e-03
6.510000000000000e-01	1.232560e-03
6.520000000000000e-01	1.232571e-03
6.530000000000000e-01	1.232582e-03
6.540000000000000e-01	1.232593e-03
6.550000000000000e-01	1.232604e-03
6.560000000000000e-01	1.232615e-03
6.570000000000000e-01	1.232626e-03
6.580000000000000e-01	1.232637e-03
6.590000000000000e-01	1.232647e-03
6.600000000000000e-01	1.232658e-03
6.610000000000000e-01	1.232669e-03
6.620000000000000e-01	1.232680e-03
6.630000000000000e-01	1.232691e-03
6.640000000000000e-01	1.232702e-03
6.650000000000000e-01	1.232713e-03
6.660000000000000e-01	1.232723e-03
6.670000000000000e-01	1.232734e-03
6.680000000000000e-01	1.232745e-03
6.690000000000000e-01	1.232756e-03
6.700000000000000e-01	1.232767e-03
6.710000000000000e-01	1.232778e-03
6.720000000000000e-01	1.232789e-03
6.730000000000000e-01	1.232800e-03
6.740000000000000e-01	1.232811e-03
6.750000000000000e-01	1.232821e-03
6.760000000000000e-01	1.232832e-03
6.770000000000000e-01	1.232843e-03
6.780000000000000e-01	1.232854e-03
6.790000000000000e-01	1.232865e-03
6.800000000000000e-01	1.232876e-03
6.810000000000000e-01	1.232887e-03
6.820000000000001e-01	1.232898e-03
6.830000000000001e-01	1.232908e-03
6.840000000000001e-01	1.232919e-03
6.850000000000001e-01	1.232930e-03
6.860000000000001e-01	1.232941e-03
6.870000000000001e-01	1.232952e-03
6.880000000000001e-01	1.232963e-03
6.890000000000001e-01	1.232974e-03
6.900000000000001e-01	1.232984e-03
6.910000000000001e-01	1.232995e-03
6.920000000000001e-01	1.233006e-03
6.930000000000001e-01	1.233017e-03
6.940000000000001e-01	1.233028e-03
6.950000000000001e-01	1.233039e-03
6.960000000000001e-01	1.233050e-03
6.970000000000001e-01	1.233061e-03
6.980000000000001e-01	1.233072e-03
6.990000000000001e-01	1.233082e-03
7.000000000000001e-01	1.233093e-03
7.010000000000001e-01	1.233104e-03
7.020000000000001e-01	1.233115e-03
7.030000000000001e-01	1.233126e-03
7.040000000000000e-01	1.233137e-03
7.050000000000000e-01	1.233148e-03
7.060000000000000e-01	1.233159e-03
7.070000000000000e-01	1.233169e-03
7.080000000000000e-01	1.233180e-03
7.090000000000000e-01	1.233191e-03
7.100000000000000e-01	1.233202e-03
7.110000000000000e-01	1.233213e-03
7.120000000000000e-01	1.233224e-03
7.130000000000000e-01	1.233235e-03
7.140000000000000e-01	1.233246e-03
7.150000000000000e-01	1.233256e-03
7.160000000000000e-01	1.233267e-03
7.170000000000000e-01	1.233278e-03
7.180000000000000e-01	1.233289e-03
7.190000000000000e-01	1.233300e-03
7.200000000000000e-01	1.233311e-03
7.210000000000000e-01	1.233322e-03
7.220000000000000e-01	1.233333e-03
7.230000000000000e-01	1.233343e-03
7.240000000000000e-01	1.233354e-03
7.250000000000000e-01	1.233365e-03
7.260000000000000e-01	1.233376e-03
7.270000000000000e-01	1.233387e-03
7.280000000000000e-01	1.233398e-03
7.290000000000000e-01	1.233409e-03
7.300000000000000e-01	1.233420e-03
7.310000000000000e-01	1.233430e-03
